own_pending_for_broadcast_,delivered_,pending_for_delivery_,acks_
109,1656,317,1964
109,1656,318,1965
109,1656,322,1969
109,1656,323,1975
109,1660,320,1972
109,1660,324,1977
109,1667,318,1981
107,1682,305,1981
107,1694,293,1981
107,1709,278,1966
107,1709,283,1981
107,1716,277,1975
107,1716,277,1989
107,1722,271,1983
107,1722,273,1985
107,1722,273,1985
107,1722,273,1985
107,1722,276,1988
107,1722,277,1989
107,1722,277,1989
107,1722,278,1991
107,1724,276,1989
107,1724,276,1989
107,1724,277,1990
107,1724,277,1990
107,1724,278,1992
107,1725,278,1999
107,1727,276,1999
107,1729,274,1997
107,1729,276,1999
107,1729,276,1999
107,1729,276,1999
107,1729,276,1999
107,1729,276,1999
107,1729,277,2000
107,1729,277,2000
107,1729,277,2000
107,1729,277,2000
107,1729,277,2000
107,1729,277,2000
107,1729,277,2000
107,1729,277,2000
107,1729,283,2008
107,1737,275,2000
107,1737,276,2001
107,1737,291,2024
107,1738,294,2027
107,1740,292,2025
107,1740,292,2025
107,1740,292,2025
107,1740,292,2025
107,1740,292,2025
107,1740,292,2025
107,1740,292,2025
107,1740,299,2033
107,1744,295,2029
107,1744,304,2038
107,1744,305,2039
107,1744,305,2039
107,1744,305,2039
107,1744,305,2039
107,1744,305,2039
107,1744,308,2048
107,1744,308,2048
107,1744,308,2048
107,1744,315,2055
107,1753,306,2055
107,1773,287,2036
107,1773,291,2044
107,1788,276,2044
107,1809,256,2024
107,1809,256,2024
107,1809,261,2047
107,1809,261,2047
107,1815,256,2051
107,1833,238,2033
107,1833,242,2062
107,1870,206,2072
107,1885,191,2072
107,1892,184,2065
107,1892,184,2072
107,1895,181,2072
107,1898,178,2072
107,1900,177,2071
107,1900,177,2071
107,1900,177,2071
107,1900,177,2071
107,1900,177,2071
107,1900,177,2071
107,1900,184,2080
107,1902,182,2080
107,1902,182,2080
107,1902,182,2080
107,1902,182,2080
107,1902,183,2081
107,1902,186,2084
107,1907,181,2079
107,1907,182,2080
107,1907,184,2082
107,1912,179,2077
107,1912,180,2081
107,1924,168,2069
107,1924,168,2069
107,1924,168,2069
107,1924,169,2070
107,1924,170,2071
107,1924,174,2089
107,1938,160,2075
107,1938,161,2076
107,1938,161,2076
107,1938,172,2088
107,1938,172,2106
107,1949,161,2095
107,1949,161,2095
107,1949,161,2095
107,1949,161,2095
107,1949,162,2096
107,1949,162,2096
107,1949,162,2096
107,1949,162,2096
107,1949,162,2096
107,1949,163,2097
107,1949,164,2098
107,1949,164,2098
107,1949,164,2103
107,1953,160,2099
107,1953,160,2099
107,1953,161,2100
107,1953,161,2100
